Time	From Node	To Node	Req.BW	Accept. Cost	Accept. Delay	Accept. Lost
  0	 8	 3	 16	 33	0.299	1.000
  0	 9	 6	 23	 12	0.247	1.000
  1	 0	 8	 14	  0	0.118	0.347
  1	 2	 7	 17	 15	0.000	1.000
  1	 5	 1	 10	  0	0.048	0.030
  1	 7	 9	 30	  0	0.312	0.118
  1	 9	 0	  4	 35	0.110	1.000
  2	 0	 6	 19	  0	0.073	0.348
  2	 4	 8	 15	  0	0.147	1.000
  2	 5	 9	  7	 41	0.304	0.105
  2	 7	 6	  9	 18	0.000	0.332
  2	 8	 5	 29	  0	0.000	1.000
  3	 2	 9	 28	  0	0.316	0.432
  3	 4	 0	 14	  0	0.000	0.237
  3	 7	 8	  8	  0	0.000	0.410
  3	 8	 0	 25	  0	0.000	0.207
  3	 9	 8	 17	 42	0.471	1.000
  4	 1	 7	 13	  0	0.243	1.000
  4	 2	 4	 16	 26	0.000	0.403
  4	 4	 5	 21	 18	0.000	1.000
  4	 6	 5	  4	  5	0.180	1.000
  5	 0	 9	 23	  0	0.000	1.000
  5	 2	 8	 30	  0	0.000	1.000
  5	 3	 0	 14	  9	0.163	1.000
  5	 4	 0	 18	 32	0.441	0.376
  5	 7	 1	 26	  0	0.309	0.402
  5	 8	 2	 18	 34	0.000	0.362
  5	 9	 7	 21	  7	0.174	0.222
  6	 0	 1	 27	  0	0.000	0.079
  6	 3	 4	  4	 12	0.377	1.000
  6	 8	 4	 27	  0	0.000	1.000
  7	 0	 1	 26	 33	0.000	1.000
  7	 1	 8	 22	  5	0.000	1.000
  7	 5	 2	 11	 27	0.461	1.000
  7	 6	 0	 32	  0	0.371	0.234
  7	 7	 6	  6	 34	0.135	1.000
  7	 9	 3	 16	  7	0.212	1.000
  8	 0	 8	  3	 36	0.132	0.455
  8	 1	 6	 10	 12	0.000	0.255
  8	 3	 7	 22	  0	0.388	1.000
  8	 4	 6	 23	  9	0.000	1.000
  8	 7	 0	 14	  0	0.431	1.000
  8	 8	 1	 16	 22	0.364	1.000
  9	 0	 6	  8	  0	0.330	0.050
  9	 1	 7	 23	  0	0.000	0.437
  9	 3	 8	 32	  7	0.011	1.000
  9	 4	 7	 13	  0	0.320	1.000
  9	 6	 7	 13	 28	0.000	0.420
  9	 7	 2	 16	  0	0.089	0.391
